ID,Guardian (Guardians),Relation (Guardians)
12407-023,F12407-023,Father
12407-024,F12407-024,Father
12407-025,F12407-025,Father
12407-026,F12407-026,Father
12407-027,F12407-027,Father
12407-028,F12407-028,Father
12407-029,F12407-029,Father
12407-030,F12407-030,Father
12407-031,F12407-031,Father
12407-032,F12407-032,Father
12407-033,F12407-033,Father
12407-034,F12407-034,Father
12407-035,F12407-035,Father
12407-036,F12407-036,Father
12407-037,F12407-037,Father
12407-038,F12407-038,Father
12407-039,F12407-039,Father
12407-042,F12407-042,Father
12407-043,F12407-043,Father
12407-044,F12407-044,Father
12407-045,F12407-045,Father
12407-046,F12407-046,Father
12407-047,F12407-047,Father
12408-001,F12408-001,Father
12408-002,F12408-002,Father
12408-003,F12408-003,Father
12408-004,F12408-004,Father
12408-005,F12408-005,Father
12408-006,F12408-006,Father
12408-007,F12408-007,Father
12408-008,F12408-008,Father
12408-009,F12408-009,Father
12408-010,F12408-010,Father
12408-011,F12408-011,Father
12408-012,F12408-012,Father
12408-013,F12408-013,Father
12408-014,F12408-014,Father
12408-015,F12408-015,Father
12408-017,F12408-017,Father
12408-018,F12408-018,Father
12408-019,F12408-019,Father
12409-001,F12409-001,Father
12409-002,F12409-002,Father
12409-003,F12409-003,Father
12409-004,F12409-004,Father
12409-005,F12409-005,Father
12409-006,F12409-006,Father
12409-007,F12409-007,Father
12409-008,F12409-008,Father
12409-009,F12409-009,Father
12409-010,F12409-010,Father
12409-011,F12409-011,Father
12409-012,F12409-012,Father
12409-013,F12409-013,Father
12409-014,F12409-014,Father
12409-015,F12409-015,Father
12409-017,F12409-017,Father
12409-018,F12409-018,Father
12409-019,F12409-019,Father
12409-020,F12409-020,Father
12409-021,F12409-021,Father
12409-023,F12409-023,Father
12409-024,F12409-024,Father
12409-025,F12409-025,Father
12409-026,F12409-026,Father
12409-027,F12409-027,Father
12409-028,F12409-028,Father
12409-029,F12409-029,Father
12409-030,F12409-030,Father
12409-031,F12409-031,Father
12409-033,F12409-033,Father
12409-034,F12409-034,Father
12409-035,F12409-035,Father
12410-001,F12410-001,Father
12410-002,F12410-002,Father
12410-003,F12410-003,Father
12410-004,F12410-004,Father
12410-005,F12410-005,Father
12410-006,F12410-006,Father
12410-007,F12410-007,Father
12410-008,F12410-008,Father
